id,start_time,end_time,fare,number_pax,start_lng,start_lat,end_lng,end_lat,start_taz,end_taz
50001,9/17/12 15:22,-1,-1,1,-122.386792,37.61757,-122.392937,37.793532,239,0
50002,9/16/12 22:08,-1,-1,1,-122.435182,37.762202,-122.438512,37.775893,94,85
50003,9/16/12 19:49,-1,-1,1,-122.459563,37.790625,-122.410492,37.79165,0,29
50004,9/16/12 15:53,-1,-1,1,-122.41594,37.800837,-122.431228,37.801518,39,44
50005,9/16/12 15:20,-1,-1,1,-122.390272,37.61537,-122.417377,37.784307,239,9
50006,9/16/12 13:43,-1,-1,1,-122.407822,37.793652,-122.39977,37.783042,26,21
50007,9/16/12 7:19,-1,-1,1,-122.41562,37.791198,-122.396675,37.778148,29,18
50008,9/16/12 22:58,-1,-1,1,-122.44107,37.79961,-122.414317,37.785602,50,7
50009,9/16/12 23:06,-1,-1,1,-122.423682,37.764723,-122.418403,37.787638,105,31
50010,9/17/12 17:26,-1,-1,1,-122.412607,37.786932,-122.424992,37.802277,7,44
50011,9/17/12 17:33,-1,-1,1,-122.390162,37.615228,-122.391213,37.784633,239,17
50012,9/17/12 17:38,-1,-1,1,-122.410007,37.808405,-122.390103,37.780413,41,109
50013,9/17/12 18:17,-1,-1,1,-122.421872,37.796337,-122.3954,37.77663,34,109
50014,9/17/12 18:18,-1,-1,2,-122.410107,37.80844,-122.427478,37.752713,41,98
50015,9/17/12 18:36,-1,-1,1,-122.39536,37.776677,-122.422663,37.753638,109,99
50016,9/17/12 18:43,-1,-1,1,-122.402002,37.786472,-122.413248,37.807638,12,41
50017,9/17/12 19:52,-1,-1,1,-122.394113,37.792473,-122.423747,37.797883,15,34
50018,9/17/12 21:03,-1,-1,1,-122.399598,37.791925,-122.425262,37.783327,1,77
50019,9/17/12 18:59,-1,-1,1,-122.402097,37.786407,-122.433817,37.761013,12,103
50020,9/17/12 17:51,-1,-1,1,-122.396477,37.794165,-122.42941,37.791387,1,47
50021,9/17/12 17:38,-1,-1,1,-122.408315,37.787745,-122.392932,37.793282,0,15
50022,9/13/12 22:14,-1,-1,1,-122.445633,37.776882,-122.423592,37.758468,69,102
50023,9/13/12 9:53,-1,-1,1,-122.41778,37.787028,-122.40427,37.796295,30,24
50024,9/16/12 23:55,-1,-1,2,-122.435098,37.762297,-122.435293,37.787928,103,73
50025,9/17/12 0:28,-1,-1,1,-122.418185,37.7486,-122.424708,37.728055,100,136
50026,9/17/12 0:42,-1,-1,1,-122.427708,37.765588,-122.389303,37.764347,104,111
50027,9/17/12 0:38,-1,-1,1,-122.385228,37.615455,-122.432638,37.799528,239,44
50028,9/16/12 19:42,-1,-1,1,-122.415058,37.778863,-122.444765,37.801145,9,51
50029,9/16/12 1:05,-1,-1,1,-122.418773,37.75589,-122.446672,37.768477,101,89
50030,9/16/12 23:32,-1,-1,1,-122.418737,37.755677,-122.409503,37.784308,101,8
50031,9/16/12 23:48,-1,-1,1,-122.385275,37.615028,-122.40739,37.791623,239,3
50032,9/16/12 22:18,-1,-1,1,-122.410008,37.808355,-122.396255,37.793797,41,22
50033,9/16/12 15:25,-1,-1,1,-122.485887,37.78123,-122.50493,37.775657,58,54
50034,9/17/12 0:40,-1,-1,1,-122.435608,37.76084,-122.433735,37.75775,94,103
50035,9/16/12 21:14,-1,-1,1,-122.392853,37.779018,-122.465972,37.774647,17,64
50036,9/16/12 19:00,-1,-1,1,-122.41534,37.776647,-122.421407,37.794247,10,33
50037,9/16/12 22:44,-1,-1,1,-122.404407,37.796293,-122.399077,37.758307,24,114
50038,9/16/12 19:59,-1,-1,1,-122.442575,37.78211,-122.412518,37.789727,69,29
50039,9/16/12 19:42,-1,-1,1,-122.391618,37.778375,-122.425085,37.78763,109,75
50040,9/16/12 18:50,-1,-1,1,-122.445892,37.798617,-122.418498,37.804778,50,39
50041,9/15/12 1:54,-1,-1,1,-122.430768,37.77204,-122.420675,37.798912,81,34
50042,9/17/12 6:41,-1,-1,1,-122.4093,37.792203,-122.405963,37.804783,28,41
50043,9/17/12 7:15,-1,-1,1,-122.416265,37.789258,-122.399152,37.795142,32,22
50044,9/17/12 7:36,-1,-1,1,-122.416682,37.787263,-122.482695,37.753917,30,185
50045,9/17/12 8:50,-1,-1,1,-122.424365,37.788222,-122.395052,37.79249,75,15
50046,9/16/12 21:21,-1,-1,1,-122.400053,37.785417,-122.411232,37.786985,12,7
50047,9/17/12 8:26,-1,-1,1,-122.446195,37.778658,-122.389915,37.615695,69,239
50048,9/16/12 15:38,-1,-1,1,-122.38483,37.615218,-122.416603,37.799507,239,39
50049,9/16/12 11:40,-1,-1,1,-122.433617,37.787872,-122.436145,37.800727,73,44
50050,9/16/12 16:24,-1,-1,1,-122.494573,37.781733,-122.411133,37.791787,0,29
50051,9/16/12 11:53,-1,-1,1,-122.42143,37.794242,-122.40318,37.792747,33,2
50052,9/16/12 19:30,-1,-1,1,-122.405888,37.792513,-122.413797,37.777865,3,10
50053,9/16/12 17:37,-1,-1,1,-122.384555,37.6161,-122.260672,37.5238,239,311
50054,9/16/12 14:05,-1,-1,1,-122.417427,37.806053,-122.401772,37.790042,41,4
50055,9/16/12 13:54,-1,-1,1,-122.433592,37.787855,-122.422548,37.800052,73,40
